일자,카테고리,순위,브랜드,상품명,가격
2026-01-07,전체_주간,28,manyo,"ガラクナイアシン3.0エッセンス, 30ml",2200
2026-01-07,전체_주간,29,ナンバーズイン,"5番 白玉グルタチオン100xTXA10集中トーニング美容液, 2個",4000
2026-01-07,전체_주간,30,Laka,スージングプレップリップマスク,1890
2026-01-07,전체_주간,31,リジュラン,PDRN化粧水＋クリームセット,14000
2026-01-07,전체_주간,32,原料工房,"アズレンブルークレンジングバーム, 100ml",2100
2026-01-07,전체_주간,33,ラネージュ,"リップスリーピングマスクEX, 20g",2129
2026-01-07,전체_주간,34,ブラン,"マジックシカクリーム, 60ml",4790
2026-01-07,전체_주간,35,lily eve,"グロウターンアンプル, 100ml, 2個",5230
2026-01-07,전체_주간,36,コスノリ,"イージーブロウ·トーン·チェンジャー, 5回分",2400
2026-01-07,전체_주간,37,Ytning,"リンパマッサージクリーム, 120ml",2835
2026-01-07,전체_주간,38,Kopher,"キュリペアメラクリーム, 35ml",3190
2026-01-07,전체_주간,39,ブラン,"皮脂ゼロエアフィットクッション, 本品",2980
2026-01-07,전체_주간,40,アヌア,"ナイアシンアミド10%ダークスポットセラム, 30ml",2800
